"State","serialKillersVictims","serialKillersVictimsPerCapita","Pop"
"Alaska","51","7.0407","724357"
"Louisiana","300","6.4837","4627000"
"Kansas","153","5.2447","2917220"
"Missouri","311","5.0413","6169040"
"Indiana","341","5.0105","6805660"
"Illinois","629","5.0043","12569300"
"Washington","390","5.0020","7796940"
"Oklahoma","195","4.8867","3990440"
"Wyoming","27","4.6466","581075"
"California","1628","4.1097","39613500"
"Oregon","170","3.9632","4289440"
"Nebraska","76","3.8934","1952000"
"Florida","845","3.8506","21944600"
"Michigan","381","3.8129","9992430"
"Montana","41","3.7788","1085000"
"Ohio","433","3.6962","11714600"
"Connecticut","122","3.4339","3552820"
"Arkansas","103","3.3949","3033950"
"Georgia","365","3.3703","10830000"
"Alabama","164","3.3237","4934190"
"Nevada","105","3.2959","3185790"
"Pennsylvania","420","3.2802","12804100"
"New York","628","3.2539","19300000"
"South Carolina","162","3.0694","5277830"
"Maryland","185","3.0501","6065440"
"New Mexico","64","3.0404","2105000"
"Texas","893","3.0037","29730300"
"Kentucky","134","2.9906","4480710"
"Massachusetts","195","2.8211","6912240"
"Virginia","238","2.7662","8603980"
"Colorado","155","2.6300","5893630"
"Tennessee","179","2.5777","6944260"
"Mississippi","75","2.5283","2966410"
"North Carolina","266","2.4857","10701000"
"Rhode Island","25","2.3551","1061510"
"New Jersey","207","2.3325","8874520"
"Utah","77","2.3257","3310770"
"Maine","30","2.2148","1354520"
"West Virginia","37","2.0929","1767860"
"Arizona","156","2.0744","7520100"
"Wisconsin","118","2.0162","5852490"
"Idaho","37","1.9891","1860120"
"Vermont","11","1.7649","623251"
"Iowa","53","1.6730","3167970"
"North Dakota","11","1.4285","770026"
"Delaware","14","1.4137","990334"
"Minnesota","68","1.1916","5706400"
"South Dakota","7","0.7807","896581"
"New Hampshire","10","0.7288","1372200"
"Hawaii","10","0.7110","1406430"